t,x,y,s,d,yaw, speed
408,1333.43,1183.1,558.71,5.95727,354.015,49.3659
409,1334.74,1182.96,560.036,5.94797,354.079,49.3659
410,1336.06,1182.83,561.362,5.93576,354.15,49.3532
411,1336.94,1182.74,562.246,5.9275,354.15,49.4619
412,1338.26,1182.6,563.572,5.91431,354.156,49.4619
413,1339.58,1182.47,564.898,5.90112,354.29,49.4645
414,1340.9,1182.34,566.106,5.90519,354.409,49.3315
415,1341.78,1182.25,566.991,5.91054,354.409,49.4551
416,1343.1,1182.12,568.317,5.91839,354.408,49.4402
417,1344.42,1181.99,569.643,5.92635,354.416,49.4538
418,1345.74,1181.87,570.969,5.93431,354.416,49.4402
419,1346.62,1181.78,571.854,5.93954,354.408,49.4402
420,1347.94,1181.65,573.18,5.9475,354.416,49.4538
421,1349.26,1181.52,574.506,5.95352,354.543,49.4297
422,1350.14,1181.44,575.39,5.9568,354.543,49.4297
423,1351.46,1181.31,576.716,5.96172,354.543,49.4433
424,1352.78,1181.19,578.042,5.96665,354.543,49.4433
425,1353.66,1181.1,578.926,5.96993,354.606,49.4433
426,1354.98,1180.98,580.252,5.97194,354.669,49.4194
427,1356.3,1180.86,581.577,5.97382,354.676,49.4318
428,1357.18,1180.78,582.461,5.97515,354.669,49.433
429,1358.5,1180.65,583.787,5.97717,354.669,49.4194
430,1359.82,1180.53,585.113,5.97904,354.676,49.4318
431,1361.14,1180.41,586.438,5.98105,354.669,49.4194
432,1362.46,1180.28,587.764,5.98306,354.669,49.433
433,1363.34,1180.2,588.648,5.98428,354.676,49.4182
434,1365.1,1180.04,590.415,5.98696,354.669,49.4194
435,1366.42,1179.91,591.741,5.98895,354.676,49.433
436,1367.74,1179.79,593.067,5.98987,354.795,49.4094
437,1368.62,1179.71,593.95,5.98914,354.803,49.4082
438,1369.94,1179.59,595.311,5.98081,354.808,49.5305
439,1371.26,1179.47,596.636,5.97235,354.803,49.4082
440,1372.58,1179.35,597.961,5.96389,354.803,49.4218
441,1373.9,1179.23,599.287,5.95749,354.669,49.4194
442,1375.22,1179.11,600.613,5.95401,354.543,49.4433
443,1376.54,1178.98,601.939,5.95151,354.479,49.4297
444,1377.86,1178.85,603.265,5.95203,354.353,49.4538
445,1379.18,1178.72,604.592,5.95548,354.282,49.4645
446,1380.06,1178.63,605.476,5.95782,354.213,49.4645
447,1381.38,1178.49,606.801,5.96449,354.078,49.3546
448,1382.7,1178.36,608.127,5.97399,353.961,49.3645
449,1384.02,1178.22,609.453,5.98665,353.89,49.486
450,1384.9,1178.12,610.337,5.99513,353.89,49.3774
451,1386.21,1177.98,611.663,6.00766,353.82,49.3774
452,1387.53,1177.84,612.989,6.02126,353.89,49.3774
453,1388.41,1177.74,613.873,6.03062,353.756,49.3892
454,1389.73,1177.6,615.198,6.04726,353.756,49.3892
455,1391.05,1177.45,616.524,6.06487,353.631,49.4011
456,1392.37,1177.3,617.851,6.08552,353.497,49.4149
457,1393.24,1177.2,618.734,6.10093,353.363,49.4274
458,1394.56,1177.05,620.06,6.12665,353.238,49.4537
459,1395.88,1176.89,621.386,6.15432,353.238,49.4537
460,1397.19,1176.74,622.712,6.18297,353.112,49.4531
461,1398.51,1176.58,624.245,6.18316,353.103,49.3447
